primaryName,num_movies,avg_rating
Elrico Tunstall,3,9.799999999999999
Daniel Alvarez,4,9.55
Ismael Rubio,5,9.52
Stefan Enslin,3,9.466666666666667
Priyakanta Laishram,3,9.433333333333334
Victor Schiavon,4,9.4
Paul Stainthorpe,3,9.4
Simran S Kaler,6,9.383333333333335
VJ Siddhu,3,9.333333333333334
Robert Bubalo,4,9.325000000000001
Anuj Joshi,4,9.3
Dusan Nestorovic,3,9.233333333333333
Madhusudhan Havaldar,3,9.200000000000001
Jason Harney,5,9.16
Uttar Kumar,6,9.133333333333335
Alexander Binder,5,9.1
Raja D.,4,9.1
Daniel Fisher,6,9.083333333333334
Navid Navid,3,9.066666666666668
Pedro Garciamejía,3,9.066666666666668
Toby Burnett,3,9.066666666666668
Monjul Baruah,3,9.066666666666666
Ajay Padhi,4,9.05
I. Kolyada,11,9.036363636363637
Cameron O'Hearn,3,9.033333333333333
Sarvar Karimov,3,9.033333333333333
Simos Korexenidis,3,9.033333333333333
S.F. Hasnain,11,9.027272727272727
Sibtain Fazli,15,9.020000000000001
Michelle Arthur,3,9.0
Chikara Tanaka,3,9.0
Javier Cruz Jr.,7,9.0
Pim Razenberg,3,9.0
Rodrigo Occelli,3,9.0
Ilyas Waheed,4,8.975
Petar Lalovic,3,8.966666666666667
Renjie,3,8.966666666666667
Nick Hope,3,8.966666666666667
Philip Frahm,3,8.966666666666667
Carlo Ortega Cuevas,3,8.966666666666667
Stanislav Puzdriak,3,8.966666666666667
Kurt Jacobsen,3,8.966666666666667
Vyacheslav Bihun,9,8.944444444444445
Ms. Michelle,5,8.940000000000001
Ernest Obi,3,8.933333333333334
Himanshu Prasad Das,3,8.933333333333334
Judson Vaughan,3,8.933333333333332
Dylan Smith,3,8.933333333333332
Washington Carvalho,3,8.933333333333332
Nuo Wang,4,8.925
Fabio Toncelli,4,8.925
Andriy Zayets,4,8.925
Dylan Verrechia,32,8.921875
Prince Oak Oakleyski,15,8.913333333333332
Borislav Kolev,3,8.9
Andreas Bjunér,3,8.9
Irina Maldea,3,8.9
JJ Osbun,4,8.899999999999999
Tom Rowsell,4,8.875
Coldmirror,3,8.866666666666667
Johnny M. Sizemore,3,8.866666666666667
R. Ramamurthy,6,8.866666666666667
Ferran Brooks,4,8.85
Haneef Shareef,3,8.833333333333334
Jay Alvarez,3,8.833333333333334
Pizza Chunk,3,8.833333333333334
Laurence Connor,3,8.833333333333334
Vijay Suthar,3,8.833333333333334
Sara Ferro,7,8.8
David Herrera,4,8.8
Chris Weil,7,8.8
King B.,5,8.8
Ricardo Aidar,3,8.799999999999999
D. Todd Deeken,3,8.799999999999999
Dalmira Tilepbergen,3,8.799999999999999
Simon Frith,3,8.799999999999999
Christos Arfanis,3,8.799999999999999
Francois Lespes,3,8.799999999999999
Raja Choudhury,3,8.799999999999999
Yihui Ye,3,8.799999999999999
Fan Li,3,8.799999999999999
Caio Ribeiro,4,8.775
Ava Leigh Stewart,3,8.766666666666667
Ivana Stevens,3,8.766666666666667
Eric L. Rhodes,3,8.766666666666667
Alessio Giorgetti,3,8.766666666666667
Keith O'Grady,3,8.766666666666666
Ferenc Moldoványi,5,8.76
N.C. Rajan,4,8.75
Lance Miccio,3,8.733333333333334
Grant MacDonald,3,8.733333333333334
Wendo Mbilizi,3,8.733333333333334
Justen Faull,3,8.733333333333333
Kobametal,3,8.733333333333333
Rob Sibley,4,8.725
Massimo Pizzocaro,4,8.725
Elisavet Laloudaki,4,8.725
Alex Fegan,10,8.72
T.V. Singh Thakore,11,8.718181818181819
Tatiana Issa,3,8.700000000000001
Cheryl Allison,3,8.700000000000001
Jia Tian,3,8.700000000000001
Jonathon Link,3,8.700000000000001
Kidist Yilma,3,8.7
John Helde,4,8.675
Roland Sanchez,3,8.666666666666666
Swapnil Shetkar,3,8.666666666666666
Hazel Simpson,3,8.666666666666666
Marv Leake,3,8.666666666666666
Rodrigo Mac Niven,3,8.666666666666666
Peter Dickson,3,8.666666666666666
Garrett Hayworth,3,8.666666666666666
Steven M. Hirohama,3,8.666666666666666
Leontina Vatamanu,3,8.666666666666666
Terry Lukemire,5,8.66
Zheng Zhou,5,8.66
Atmaram Thakor,5,8.66
Drayon Blackett,4,8.65
Catherine Masud,4,8.649999999999999
Natalie Wynn,8,8.6375
Kathir Raven S.,3,8.633333333333335
Julie Marron,3,8.633333333333335
Ryan Worsley,3,8.633333333333333
Rosemary Rawcliffe,3,8.633333333333333
Michael Loukinen,6,8.633333333333333
Rimvydas Cekavicius,3,8.633333333333333
Matej Vranic,3,8.633333333333333
Girish Kumar B,3,8.633333333333333
Kazi Zahir,3,8.633333333333333
Rupak Gogoi,3,8.633333333333333
Mike Barkhoff,3,8.633333333333333
Sabyasachi Mohapatra,8,8.625
Mark Vizcarra,4,8.625
Gábor Murai,4,8.625
Amel Tresnjic,5,8.620000000000001
Ridha Tlili,6,8.616666666666667
Paul Miloslavsky,3,8.6
Mike Redman,3,8.6
Stephen McCaskell,4,8.6
James Powell,3,8.6
Zachary Oberzan,4,8.6
Anthony Howarth,4,8.6
Haresh Patel,3,8.6
Alan Berry,4,8.6
Ming Fan,3,8.6
Jeremiah Hayes,3,8.6
Tareque Masud,6,8.583333333333334
Sivaram Peketi,6,8.583333333333334
Mauro Caputo,4,8.575
Steven Scaffidi,4,8.575
Umberto Baccolo,8,8.575
Masoud Ahmadi,3,8.566666666666668
Lincoln Fenner,3,8.566666666666668
David LI,3,8.566666666666668
Samten Bhutia,3,8.566666666666668
Dafna Yachin,3,8.566666666666668
Bruno Straus,3,8.566666666666666
Carlotta Cerquetti,3,8.566666666666666
Antione Manuel Way,3,8.566666666666666
Salvo Campisano,5,8.559999999999999
Y.R. Swamy,19,8.557894736842105
Luca Guardabascio,7,8.557142857142857
Jordi Call,4,8.55
Paul L. Carr,4,8.549999999999999
Scott Noble,6,8.549999999999999
Dylan McKay,5,8.540000000000001
Szilárd Matusik,5,8.540000000000001
Petter Ringbom,3,8.533333333333333
Giannis Xydas,3,8.533333333333333
Brian K. Burns,3,8.533333333333333
Nicole Zwiren,3,8.533333333333333
Taliya Finkel,3,8.533333333333333
Marcus Muhd,3,8.533333333333333
László Csibi,3,8.533333333333333
Sisir Kumar Sahu,4,8.525
Peenakee Singh,4,8.525
Vidura B.R.,4,8.525
Sandijs Semjonovs,4,8.525
Ken Spurgeon,4,8.525
Karim Kassem,4,8.525
John C. Brown,4,8.525
Mariano Alvarez,23,8.521739130434783
Jak Kerley,3,8.5
P.R. Kaundinya,3,8.5
Steve Dorst,3,8.5
William T. Still,3,8.5
Sam Barlow,3,8.5
Raju Meshram,3,8.5
Syed Hussain,3,8.5
Sudhanshu Mohan Sahoo,5,8.5
Tatyana Bronstein,3,8.5
Peter Charles Downey,3,8.5
Alexei Navalny,3,8.5
Zaya Benazzo,3,8.5
Ashwin Tripathy,4,8.5
Laura Artigas,3,8.5
Jaeseok Park,4,8.5
Oscar Sansom,3,8.5
J.J. Harting,6,8.483333333333333
Tomás Larrinaga,4,8.475000000000001
Dale Heslip,4,8.475000000000001
Frank Wolf,4,8.475
Erik Baláz,4,8.475
M.R. Vittal,7,8.471428571428572
Shantanu Ganesh Rode,3,8.466666666666667
Gerasimos Rigas,3,8.466666666666667
Richard Yelland,3,8.466666666666667
John Mulholland,3,8.466666666666667
Nicolas James,3,8.466666666666667
Jon Robert Quinn,3,8.466666666666667
Jacques Holender,6,8.466666666666667
Munin Barua,11,8.463636363636363
Kevin Yang,5,8.459999999999999
Kelly Rundle,5,8.459999999999999
Mary Lance,4,8.450000000000001
Joerg Steineck,4,8.45
H.L.N. Simha,5,8.440000000000001
Bernabé Melendrez,3,8.433333333333334
David Austin,3,8.433333333333334
SD Dey,3,8.433333333333334
Matthew Mahler,3,8.433333333333334
Alan Root,3,8.433333333333334
Violeta Gorgos,3,8.433333333333332
Mario Durán Araujo,3,8.433333333333332
Arvind Pratap,3,8.433333333333332
Rozle Bregar,3,8.433333333333332
K.R. Seetarama Sastry,3,8.433333333333332
Kyle Gray,3,8.433333333333332
Louise Lemoine,10,8.43
Ila Bêka,10,8.43
René Vautier,28,8.425
Irshad Dalal,4,8.425
Yasmine Asha,5,8.42
Cathy Jones,11,8.409090909090908
Dinesh Chaudhary,13,8.407692307692308
Mohan Niyaz,3,8.4
Matthew Buzzell,4,8.4
Ethan Clerc,3,8.4
Rafael Balulu,3,8.4
Wolf Schmidt,5,8.4
Vishal Mourya,3,8.4
Les Guthman,3,8.4
Emre Oran,3,8.4
Wayne Chesler,3,8.4
Elementia,3,8.4
Hunsur Krishnamurthy,11,8.4
Frank Rajah Arase,7,8.4
Moustapha Akkad,3,8.4
Ruud Lenssen,3,8.4
Bibi Bozzato,3,8.4
Susan Polis Schutz,3,8.4
Clayton Tramel,3,8.4
Mattias Löw,6,8.4
Mihai Voinea,3,8.4
Richard Edwards,4,8.399999999999999
Nick Nanton,10,8.39
Jean-Pierre Ponnelle,8,8.3875
Aruru Pattabhi,7,8.385714285714286
Siddalingaiah,13,8.376923076923077
Justin Le Pera,4,8.375
Christopher McLeod,4,8.375
Avi Weissblei,4,8.375
Karzan Kardozi,3,8.366666666666667
Bart Hölscher,3,8.366666666666667
Aaron Hose,3,8.366666666666667
Mykola Nosok,3,8.366666666666667
Werner Fritsch,3,8.366666666666667
Sean Bloomfield,3,8.366666666666667
Clayton Vila,3,8.366666666666667
Sarah Morris,3,8.366666666666667
Nagesh Bhonsle,3,8.366666666666667
Chris Johnson,3,8.366666666666667
Swaroop Sawant,3,8.366666666666667
Terence Gordon,3,8.366666666666667
Pablo D'Stair,3,8.366666666666667
Max Aguiar,3,8.366666666666667
Tony Wilson,3,8.366666666666665
Alonso O. Lara,35,8.365714285714287
Jagjeet Gill,5,8.36
Morgan le Faucheur,5,8.36
Jamie Benning,5,8.36
Barry Greenwald,7,8.357142857142858
Nidhal Chatta,4,8.350000000000001
Fadhel Jaziri,4,8.350000000000001
Alok Thaker,4,8.35
Pradip Kurbah,4,8.35
John C. Koch,4,8.35
N. Lakshminarayan,4,8.35
Mark Moormann,4,8.35
Abhijeet Warang,4,8.35
Michael P. Nash,5,8.34
Diane Paloma Eskenazi,3,8.333333333333334
Richa Sahai,3,8.333333333333334
Christian de Rezendes,3,8.333333333333334
Kristin Atwell,3,8.333333333333334
Simone Saibene,3,8.333333333333334
Adi Barash,3,8.333333333333334
Laura Warner,3,8.333333333333334
Na Gyi,3,8.333333333333334
Candy J. Beard,3,8.333333333333334
Ruthie Shatz,3,8.333333333333334
Amirhossein Makouei,6,8.333333333333334
Scott Galloway,3,8.333333333333334
Alexander Rynéus,3,8.333333333333334
Jason Berry,4,8.325
André Schneider,4,8.325
Kenny Basumatary,6,8.316666666666666
Yann Arthus-Bertrand,6,8.316666666666666
S.K. Ananthachari,6,8.316666666666666
Tommy Weber,4,8.3
Park Jun-soo,10,8.3
Hannelore Conradsen,4,8.3
Yadav Kharel,4,8.3
Greg Kaplan,3,8.299999999999999
Sandeep Sawant,3,8.299999999999999
John Little,3,8.299999999999999
Yogesh Dattatraya Gosavi,3,8.299999999999999
Saki Shah,3,8.299999999999999
Dominikos Ignatiadis,3,8.299999999999999
Tom Weidlinger,3,8.299999999999999
Tuomo Rysti,3,8.299999999999999
Hank Rogerson,3,8.299999999999999
Anupam Patnaik,6,8.299999999999999
Slobodan Simojlovic,3,8.299999999999999
Vishal Raaj,3,8.299999999999999
Pascal Sanchez,3,8.299999999999999
Sujeet Kumar Singh,3,8.299999999999999
Wendy Crouse,3,8.299999999999999
Patryk Wezowski,6,8.283333333333333
Kasia Wezowski,6,8.283333333333333
David Graham Scott,5,8.280000000000001
Mike Hill,5,8.28
Ravindra Venshi,5,8.28
Kartick Chattopadhyay,5,8.28
Lukas Pribyl,4,8.275
Dawn Mikkelson,4,8.275
Kip Andersen,4,8.275
Tim Hawkins,4,8.275
Dharma,4,8.275
Kiranraj K,4,8.274999999999999
Tye Banks,11,8.272727272727273
Neal Hutcheson,7,8.27142857142857
Sergey Bukovsky,6,8.266666666666667
Christian Marclay,3,8.266666666666667
Tom Magnus,3,8.266666666666667
Gabe Rodriguez,3,8.266666666666667
Vladimir Kurcubic,3,8.266666666666667
Bill Wisneski,3,8.266666666666667
Tony Cole,6,8.266666666666667
Ritesh Sharma,3,8.266666666666667
Alan Hicks,3,8.266666666666667
Andi Burhamzah,3,8.266666666666667
Peter Baxter,3,8.266666666666667
Rhonda Parker,3,8.266666666666666
Yuv Raj Lama,3,8.266666666666666
Imraul Rafat,3,8.266666666666666
Sergio Morkin,3,8.266666666666666
Kabilan Plondran,3,8.266666666666666
Tim Hahne,3,8.266666666666666
Jolyon Hoff,5,8.26
Carsten Frank,5,8.26
James E. Motluk,7,8.257142857142856
Vipul Mehta,7,8.257142857142856
Nabwana I.G.G.,13,8.253846153846153
John Luksetich,4,8.25
Adele Schmidt,4,8.25
Michael Wiseman,4,8.25
Dragos Zãmosteanu,4,8.25
José Zegarra Holder,4,8.25
Aaron Matthews,4,8.25
Andrei Zagdansky,9,8.244444444444445
George Kacharava,5,8.24
Fabio Macchi,3,8.233333333333334
Coraci Ruiz,3,8.233333333333334
Adel Bakri,3,8.233333333333334
Kalp Trivedi,3,8.233333333333334
Ron Small,3,8.233333333333334
Klaus Mitchell,3,8.233333333333333
Rajesh Deshpande,3,8.233333333333333
Anne Holst Moulvad,3,8.233333333333333
Todd Sansom,3,8.233333333333333
Jesús Manuel Muñoz,3,8.233333333333333
Don Brolin,3,8.233333333333333
Aaron Gunn,3,8.233333333333333
Vijay Roche,3,8.233333333333333
Kumud Pant,3,8.233333333333333
Roel Willems,3,8.233333333333333
Nikolay Stefanov,3,8.233333333333333
Nikos Kourous,3,8.233333333333333
Sebastian J.F.,3,8.233333333333333
Oh Yoon-dong,13,8.23076923076923
Dmitri Frolov,4,8.225
Dragan Bjelogrlic,4,8.225
Ádám Miklós,4,8.225
Kim Cypher,4,8.225
Sladjana Zaric,4,8.225
Ram,5,8.22
Pierre Lamoureux,5,8.22
Nickolas Bird,5,8.22
Eleanor Sharpe,5,8.22
Rudi Dolezal,6,8.216666666666667
Dieter Köster,6,8.216666666666667
Ludmil Staikov,7,8.214285714285714
Marijn Poels,8,8.2125
Matt Dworzanczyk,3,8.200000000000001
Rhian Skirving,3,8.200000000000001
Ainun Ridho,3,8.200000000000001
Dawn Logsdon,3,8.200000000000001
David Whittet,3,8.200000000000001
Linda Hoaglund,3,8.200000000000001
Ekaterina Eremenko,6,8.200000000000001
Adam Schmedes,3,8.200000000000001
Christian Tod,3,8.200000000000001
Mikael Lypinski,3,8.200000000000001
Pablo Francischelli,3,8.200000000000001
P. Sheshadri,8,8.200000000000001
Justin Martin,3,8.200000000000001
Brandon Kimber,3,8.200000000000001
Avner Faingulernt,3,8.200000000000001
Pedro Serra,3,8.200000000000001
Hussein Abu Hassan,3,8.200000000000001
Tiemu Jin,3,8.200000000000001
Charles Schefer,3,8.200000000000001
Fahad Mustafa,3,8.200000000000001
Gëzim Erebara,5,8.2
Glória Halász,5,8.2
Félix Rose,4,8.2
Annie Johnson,5,8.2
Digpal Lanjekar,7,8.2
Morgan Nichols,3,8.2
Pablo Chehebar,4,8.2
Jörg Fockele,4,8.2
Kai Zastrow,3,8.2
K K Makwana,4,8.2
Isaac L. Oliver,5,8.2
Nicolás Iacouzzi,4,8.2
Peter Miller,8,8.2
Tanvir Mokammel,13,8.192307692307692
Dick Carruthers,10,8.190000000000001
Pauli Janhunen Calderón,16,8.1875
Carlos Nader,7,8.185714285714285
Federico Micali,6,8.183333333333334
Pete McCormack,6,8.183333333333334
Tapas Sargharia,11,8.181818181818182
Upendra,10,8.18
Daniel Draper,5,8.18
Lee Unkrich,5,8.18
Micah Smith,4,8.175
Hemanth M. Rao,4,8.175
Nicolás Batlle,4,8.175
Ivo van Hove,4,8.175
David Zellerford,4,8.175
John Forsen,4,8.175
Ahmad Rusli,4,8.175
Kranti Kanadé,4,8.175
Zahir Raihan,8,8.175
Anand Patwardhan,11,8.172727272727274
Haruo Sotozaki,7,8.17142857142857
Yandy Laurens,3,8.166666666666666
Paul David Kennamer Jr.,3,8.166666666666666
Christopher Nolan,12,8.166666666666666
B.S. Lingadevaru,3,8.166666666666666
Trey Smith,3,8.166666666666666
Beth Toni Kruvant,3,8.166666666666666
Sean Evans,3,8.166666666666666
David Mallet,6,8.166666666666666
Mike Huber,3,8.166666666666666
Felicity Hawthorn,3,8.166666666666666
Ryan Watson,3,8.166666666666666
Jules Falardeau,3,8.166666666666666
Kate O'Callaghan,3,8.166666666666666
Arthur Cantrill,3,8.166666666666666
Sam Denby,3,8.166666666666666
Ian Thomas Ash,3,8.166666666666666
Bob Sarles,3,8.166666666666666
Matteo Maggi,3,8.166666666666666
Roger Waters,3,8.166666666666666
Xiaoming Ai,3,8.166666666666666
Aleksandr Lukin,3,8.166666666666666
Brad Allgood,3,8.166666666666666
Nada Mezni Hafaiedh,3,8.166666666666666
Greg Chapman,3,8.166666666666666
Richard Cohen,3,8.166666666666666
Frederic Lumiere,5,8.16
Nitin Chandra,5,8.16
Joe L. Roberts,7,8.157142857142857
Adam Lee Hamilton,4,8.15
Zoltán Török,8,8.15
Karin Hayes,4,8.15
Maurizio Benazzo,4,8.15
M. Manikandan,4,8.15
Constantine Papanicolaou,4,8.15
Ayub Shahobiddinov,4,8.15
François Lamoureux,4,8.15
K.R. Devmani,4,8.15
Victoria Bruce,4,8.15
Rajen Tarafder,4,8.15
Farland Chang,4,8.15
Rishab Shetty,4,8.149999999999999
Ian Darling,9,8.144444444444444
